,ADMIN1,ADMIN2,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
663,Woqooyi Galbeed,Berbera,2011-07-01,96911.0625,26.761188507080078,0.0,,0.0,96911.0625,26.761188507080078,0.0,,0.0,96911.0625,26.761188507080078,0.0,,0.0,0.0,0.0,0.0,96937.82368850708,193875.64737701416,96937.82368850708,193875.64737701416,96937.82368850708,193875.64737701416
664,Woqooyi Galbeed,Gebiley,2011-07-01,135990.546875,0.0,0.0,,0.0,135990.546875,0.0,0.0,,0.0,135990.546875,0.0,0.0,,0.0,0.0,0.0,0.0,135990.546875,271981.09375,135990.546875,271981.09375,135990.546875,271981.09375
665,Woqooyi Galbeed,Hargeysa,2011-07-01,923551.6875,0.0,0.0,,0.0,923551.6875,0.0,0.0,,0.0,923551.6875,0.0,0.0,,0.0,0.0,0.0,0.0,923551.6875,1847103.375,923551.6875,1847103.375,923551.6875,1847103.375
666,Awdal,Baki,2011-10-01,40763.109375,0.0,0.0,,0.0,40763.109375,0.0,0.0,,0.0,40763.109375,0.0,0.0,,0.0,0.0,0.0,0.0,40763.109375,81526.21875,40763.109375,81526.21875,40763.109375,81526.21875
667,Awdal,Borama,2011-10-01,346249.78125,0.0,0.0,,0.0,346249.78125,0.0,0.0,,0.0,346249.78125,0.0,0.0,,0.0,0.0,0.0,0.0,346249.78125,692499.5625,346249.78125,692499.5625,346249.78125,692499.5625
668,Awdal,Lughaye,2011-10-01,56907.50390625,0.0,0.0,,0.0,56907.50390625,0.0,0.0,,0.0,56907.50390625,0.0,0.0,,0.0,0.0,0.0,0.0,56907.50390625,113815.0078125,56907.50390625,113815.0078125,56907.50390625,113815.0078125
669,Awdal,Zeylac,2011-10-01,44734.11328125,20.766868591308594,0.0,,0.0,44734.11328125,20.766868591308594,0.0,,0.0,44734.11328125,20.766868591308594,0.0,,0.0,0.0,0.0,0.0,44754.88014984131,89509.76029968262,44754.88014984131,89509.76029968262,44754.88014984131,89509.76029968262
670,Bakool,Ceel Barde,2011-10-01,0.0,0.0,47137.48046875,,0.0,0.0,0.0,47137.48046875,,0.0,0.0,47137.48046875,0.0,,0.0,0.0,0.0,0.0,47137.48046875,94274.9609375,47137.48046875,94274.9609375,47137.48046875,94274.9609375
671,Bakool,Rab Dhuure,2011-10-01,0.0,0.0,4587.40234375,,0.0,0.0,0.0,4186.7841796875,,0.0,0.0,4186.7841796875,56992.9140625,,0.0,56592.296875,56992.9140625,0.0,61179.69921875,122359.3984375,61179.6982421875,122359.396484375,61179.6982421875,122359.396484375
672,Bakool,Tayeeglow,2011-10-01,0.0,0.0,4966.48974609375,,0.0,0.0,0.0,4966.48974609375,,0.0,0.0,4966.48974609375,126862.9609375,,0.0,126862.9609375,126862.9609375,0.0,131829.45068359375,263658.9013671875,131829.45068359375,263658.9013671875,131829.45068359375,263658.9013671875
673,Bakool,Waajid,2011-10-01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,116252.8828125,,0.0,116252.8828125,116252.8828125,0.0,116252.8828125,232505.765625,116252.8828125,232505.765625,116252.8828125,232505.765625
674,Bakool,Xudur,2011-10-01,0.0,0.0,128.84799194335938,,0.0,0.0,0.0,128.84799194335938,,0.0,0.0,128.84799194335938,154041.875,,0.0,154041.875,154041.875,0.0,154170.72299194336,308341.4459838867,154170.72299194336,308341.4459838867,154170.72299194336,308341.4459838867
675,Banadir,Banadir,2011-10-01,0.0,0.0,1450240.5,,0.0,0.0,0.0,1409773.25,,0.0,0.0,0.0,1464486.75,,0.0,14246.2158203125,54713.40625,0.0,1464486.7158203125,2928973.431640625,1464486.65625,2928973.3125,1464486.75,2928973.5
676,Bari,Bandarbeyla,2011-10-01,0.0,15170.51171875,8849.076171875,,0.0,0.0,15170.51171875,8849.076171875,,0.0,0.0,15170.51171875,8849.076171875,,0.0,0.0,0.0,0.0,24019.587890625,48039.17578125,24019.587890625,48039.17578125,24019.587890625,48039.17578125
677,Bari,Bossaso,2011-10-01,6239.490234375,256145.203125,0.0,,0.0,0.0,262384.6875,0.0,,0.0,0.0,262384.6875,0.0,,0.0,0.0,0.0,0.0,262384.693359375,524769.38671875,262384.6875,524769.375,262384.6875,524769.375
678,Bari,Caluula,2011-10-01,0.0,55510.9609375,5137.48291015625,,0.0,0.0,55510.9609375,5137.48291015625,,0.0,0.0,55510.9609375,5137.48291015625,,0.0,0.0,0.0,0.0,60648.44384765625,121296.8876953125,60648.44384765625,121296.8876953125,60648.44384765625,121296.8876953125
679,Bari,Iskushuban,2011-10-01,0.0,63726.90625,16484.44921875,,0.0,0.0,63726.90625,16484.44921875,,0.0,0.0,63726.90625,16484.44921875,,0.0,0.0,0.0,0.0,80211.35546875,160422.7109375,80211.35546875,160422.7109375,80211.35546875,160422.7109375
680,Bari,Qandala,2011-10-01,0.0,65847.5,0.0,,0.0,0.0,65847.5,0.0,,0.0,0.0,65847.5,0.0,,0.0,0.0,0.0,0.0,65847.5,131695.0,65847.5,131695.0,65847.5,131695.0
681,Bari,Qardho,2011-10-01,0.0,137256.46875,14.668184280395508,,0.0,0.0,137271.125,0.0,,0.0,0.0,137271.125,0.0,,0.0,0.0,0.0,0.0,137271.1369342804,274542.2738685608,137271.125,274542.25,137271.125,274542.25
682,Bay,Baydhaba,2011-10-01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,516497.46875,,0.0,516497.46875,516497.46875,0.0,516497.46875,1032994.9375,516497.46875,1032994.9375,516497.46875,1032994.9375
683,Bay,Buur Hakaba,2011-10-01,0.0,0.0,20155.6171875,,0.0,0.0,0.0,20155.6171875,,0.0,0.0,20081.705078125,202472.25,,0.0,202398.359375,202398.359375,0.0,222553.9765625,445107.953125,222553.9765625,445107.953125,222553.955078125,445107.91015625
684,Bay,Diinsoor,2011-10-01,0.0,0.0,0.0,,0.0,0.0,0.0,2608.533203125,,0.0,0.0,0.0,130532.40625,,0.0,130532.40625,127923.8671875,0.0,130532.40625,261064.8125,130532.400390625,261064.80078125,130532.40625,261064.8125
685,Bay,Qansax Dheere,2011-10-01,0.0,62.4130859375,154.556396484375,,0.0,0.0,62.4130859375,154.556396484375,,0.0,0.0,104.62195587158203,153302.6875,,0.0,153190.34375,153190.34375,0.0,153407.31323242188,306814.62646484375,153407.31323242188,306814.62646484375,153407.30945587158,306814.61891174316
