ADMIN0,ADMIN1,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Somalia,Sool,2009-10-01,0.0,228991.875,23.830421447753906,,0.0,0.0,228991.875,23.830421447753906,,0.0,0.0,228991.875,23.830421447753906,,0.0,0.0,0.0,0.0,229015.7054214477,229015.7054214477,229015.7054214477,229015.7054214477,229015.7054214477,229015.7054214477,0.0,0.0,99.98959441606684,0.010405583933162928,0.0,229015.7054214477,100.0,23.830421447753906,0.010405583933162928,0.0,0.0,0.0,0.0,99.98959441606684,0.010405583933162928,0.0,229015.7054214477,100.0,23.830421447753906,0.010405583933162928,0.0,0.0,0.0,0.0,99.98959441606684,0.010405583933162928,0.0,229015.7054214477,100.0,23.830421447753906,0.010405583933162928,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Togdheer,2009-10-01,0.0,628867.75,0.0,,0.0,0.0,628867.75,0.0,,0.0,0.0,628867.75,0.0,,0.0,0.0,0.0,0.0,628867.75,628867.75,628867.75,628867.75,628867.75,628867.75,0.0,0.0,100.0,0.0,0.0,628867.75,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,628867.75,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,628867.75,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Middle Juba,2009-10-01,0.0,370670.53125,0.0,,0.0,0.0,370670.53125,0.0,,0.0,0.0,370670.53125,0.0,,0.0,0.0,0.0,0.0,370670.53125,370670.53125,370670.53125,370670.53125,370670.53125,370670.53125,0.0,0.0,100.0,0.0,0.0,370670.53125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,370670.53125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,370670.53125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Sanaag,2009-10-01,0.0,419754.84375,0.0,,0.0,0.0,419754.84375,0.0,,0.0,0.0,419754.84375,0.0,,0.0,0.0,0.0,0.0,419754.84375,419754.84375,419754.84375,419754.84375,419754.84375,419754.84375,0.0,0.0,100.0,0.0,0.0,419754.84375,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,419754.84375,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,419754.84375,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Lower Shabelle,2009-10-01,0.0,1245022.75,96432.78125,,0.0,0.0,1245022.75,96432.78125,,0.0,0.0,1245022.75,96432.78125,,0.0,0.0,0.0,0.0,1341455.53125,1341455.53125,1341455.53125,1341455.53125,1341455.53125,1341455.53125,0.0,0.0,92.81133224295988,7.188667757040119,0.0,1341455.53125,100.0,96432.78125,7.188667757040119,0.0,0.0,0.0,0.0,92.81133224295988,7.188667757040119,0.0,1341455.53125,100.0,96432.78125,7.188667757040119,0.0,0.0,0.0,0.0,92.81133224295988,7.188667757040119,0.0,1341455.53125,100.0,96432.78125,7.188667757040119,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Bari,2009-10-01,0.0,595480.5,0.0,,0.0,0.0,595480.5,0.0,,0.0,0.0,595480.5,0.0,,0.0,0.0,0.0,0.0,595480.5,595480.5,595480.5,595480.5,595480.5,595480.5,0.0,0.0,100.0,0.0,0.0,595480.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,595480.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,595480.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Hiraan,2009-10-01,0.0,0.0,512541.125,,0.0,0.0,0.0,512541.125,,0.0,0.0,0.0,512541.125,,0.0,0.0,0.0,0.0,512541.125,512541.125,512541.125,512541.125,512541.125,512541.125,0.0,0.0,0.0,100.0,0.0,512541.125,100.0,512541.125,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,512541.125,100.0,512541.125,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,512541.125,100.0,512541.125,100.0,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Gedo,2009-10-01,0.0,199486.8125,313059.6875,,0.0,0.0,199486.8125,313059.6875,,0.0,0.0,199486.8125,313059.6875,,0.0,0.0,0.0,0.0,512546.5,512546.5,512546.5,512546.5,512546.5,512546.5,0.0,0.0,38.92072475375405,61.079275246245935,0.0,512546.5,100.0,313059.6875,61.079275246245935,0.0,0.0,0.0,0.0,38.92072475375405,61.079275246245935,0.0,512546.5,100.0,313059.6875,61.079275246245935,0.0,0.0,0.0,0.0,38.92072475375405,61.079275246245935,0.0,512546.5,100.0,313059.6875,61.079275246245935,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Galgaduud,2009-10-01,0.0,0.0,514325.125,,0.0,0.0,0.0,514325.125,,0.0,0.0,0.0,514325.125,,0.0,0.0,0.0,0.0,514325.125,514325.125,514325.125,514325.125,514325.125,514325.125,0.0,0.0,0.0,100.0,0.0,514325.125,100.0,514325.125,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,514325.125,100.0,514325.125,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,514325.125,100.0,514325.125,100.0,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
Somalia,Bay,2009-10-01,0.0,835813.0625,132872.0,,0.0,0.0,835813.0625,132872.0,,0.0,0.0,835813.0625,132872.0,,0.0,0.0,0.0,0.0,968685.0625,968685.0625,968685.0625,968685.0625,968685.0625,968685.0625,0.0,0.0,86.28326118118498,13.716738818815017,0.0,968685.0625,100.0,132872.0,13.716738818815017,0.0,0.0,0.0,0.0,86.28326118118498,13.716738818815017,0.0,968685.0625,100.0,132872.0,13.716738818815017,0.0,0.0,0.0,0.0,86.28326118118498,13.716738818815017,0.0,968685.0625,100.0,132872.0,13.716738818815017,0.0,0.0,0.0,0.0,Oct - Dec 2009,Jan - Mar 2010
