ADMIN0,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Somalia,2012-07-01,7469757.127723694,5050606.3330078125,132298.966796875,,0.0,7746193.297401428,4798735.950439453,107733.1796875,,0.0,7752873.330116272,4899789.097412109,0.0,,0.0,0.0,0.0,0.0,12652662.427528381,12652662.427528381,12652662.427528381,12652662.427528381,12652662.427528381,12652662.427528381,0.0,59.03703801874737,39.91734041697987,1.0456215642727675,0.0,5182905.2998046875,40.96296198125263,132298.966796875,1.0456215642727675,7469757.127723694,59.03703801874737,0.0,61.22184434912328,37.92668916858834,0.8514664822883843,0.0,4906469.130126953,38.77815565087672,107733.1796875,0.8514664822883843,7746193.297401428,61.22184434912328,0.0,61.27463982006155,38.72536017993845,0.0,0.0,4899789.097412109,38.72536017993845,0.0,0.0,7752873.330116272,61.27463982006155,-2.2376018013141845,-2.1848063303759133,Jul - Sep 2012,Oct - Dec 2012
Somalia,2012-10-01,7746193.297401428,4798735.950439453,107733.1796875,,0.0,7545028.5093688965,5107633.918159485,0.0,,0.0,10464034.84525299,2188627.5822753906,0.0,,0.0,0.0,0.0,0.0,12652662.427528381,12652662.427528381,12652662.427528381,12652662.427528381,12652662.427528381,12652662.427528381,0.0,61.22184434912328,37.92668916858834,0.8514664822883843,0.0,4906469.130126953,38.77815565087672,107733.1796875,0.8514664822883843,7746193.297401428,61.22184434912328,0.0,59.63194349477931,40.36805650522069,0.0,0.0,5107633.918159485,40.36805650522069,0.0,0.0,7545028.5093688965,59.63194349477931,0.0,82.70223682318753,17.297763176812467,0.0,0.0,2188627.5822753906,17.297763176812467,0.0,0.0,10464034.84525299,82.70223682318753,-21.480392474064253,1.5899008543439734,Oct - Dec 2012,Jan - Mar 2013
Somalia,2013-01-01,12722247.099193573,276734.9775390625,0.0,,0.0,12620520.536693573,378461.5400390625,0.0,,0.0,12620520.536693573,378461.5400390625,0.0,,0.0,0.0,0.0,0.0,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,0.0,97.87110270707734,2.1288972929226575,0.0,0.0,276734.9775390625,2.1288972929226575,0.0,0.0,12722247.099193573,97.87110270707734,0.0,97.08852941095684,2.9114705890431605,0.0,0.0,378461.5400390625,2.9114705890431605,0.0,0.0,12620520.536693573,97.08852941095684,0.0,97.08852941095684,2.9114705890431605,0.0,0.0,378461.5400390625,2.9114705890431605,0.0,0.0,12620520.536693573,97.08852941095684,0.782573296120503,0.782573296120503,Jan - Mar 2013,Apr - Jun 2013
Somalia,2013-04-01,12620520.536693573,378461.5400390625,0.0,,0.0,12620520.536693573,378461.5400390625,0.0,,0.0,12722247.099193573,276734.9775390625,0.0,,0.0,0.0,0.0,0.0,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,0.0,97.08852941095684,2.9114705890431605,0.0,0.0,378461.5400390625,2.9114705890431605,0.0,0.0,12620520.536693573,97.08852941095684,0.0,97.08852941095684,2.9114705890431605,0.0,0.0,378461.5400390625,2.9114705890431605,0.0,0.0,12620520.536693573,97.08852941095684,0.0,97.87110270707734,2.1288972929226575,0.0,0.0,276734.9775390625,2.1288972929226575,0.0,0.0,12722247.099193573,97.87110270707734,-0.782573296120503,0.0,Apr - Jun 2013,Jul - Sep 2013
Somalia,2013-07-01,12713405.811739922,128196.912109375,0.0,,157379.35288333893,12547790.596896172,293812.126953125,0.0,,157379.35288333893,12547790.596896172,293812.126953125,0.0,,157379.35288333893,0.0,0.0,0.0,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,1.2107052071795539,97.80308747787355,0.9862073149469099,0.0,0.0,128196.912109375,0.9862073149469099,0.0,0.0,12870785.16462326,99.01379268505309,1.2107052071795539,96.52902452535828,2.2602702674621757,0.0,0.0,293812.126953125,2.2602702674621757,0.0,0.0,12705169.94977951,97.73972973253782,1.2107052071795539,96.52902452535828,2.2602702674621757,0.0,0.0,293812.126953125,2.2602702674621757,0.0,0.0,12705169.94977951,97.73972973253782,1.2740629525152658,1.2740629525152658,Jul - Sep 2013,Oct - Dec 2013
Somalia,2013-10-01,12566224.821505547,275377.90234375,0.0,,0.0,12723604.174388885,275377.90234375,0.0,,0.0,12587992.589336395,245374.27255249023,165615.21484375,,157379.35288333893,0.0,0.0,0.0,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,12998982.076732635,1.2107052071795539,96.67083735732125,2.1184574354991934,0.0,0.0,275377.90234375,2.1184574354991934,0.0,0.0,12723604.174388885,97.88154256450082,0.0,97.88154256450082,2.1184574354991934,0.0,0.0,275377.90234375,2.1184574354991934,0.0,0.0,12723604.174388885,97.88154256450082,0.0,96.83829483747127,1.8876422100134658,1.2740629525152656,0.0,410989.48739624023,3.1617051625287313,165615.21484375,1.2740629525152656,12587992.589336395,96.83829483747127,1.043247727029538,0.0,Oct - Dec 2013,Jan - Mar 2014
Somalia,2014-01-01,13026878.83763218,202986.5380859375,127781.21875,,0.0,12709386.409314156,520478.9664039612,127781.21875,,0.0,12945976.160874367,214189.93359375,197480.5,,0.0,0.0,0.0,0.0,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,0.0,97.52375723899658,1.5196280022111197,0.9566147587923072,0.0,330767.7568359375,2.4762427610034266,127781.21875,0.9566147587923072,13026878.83763218,97.52375723899658,0.0,95.14689821616909,3.8964870250386046,0.9566147587923072,0.0,648260.1851539612,4.853101783830911,127781.21875,0.9566147587923072,12709386.409314156,95.14689821616909,0.0,96.91809159134186,1.6035005274241483,1.4784078812339876,0.0,411670.43359375,3.0819084086581356,197480.5,1.4784078812339876,12945976.160874367,96.91809159134186,0.6056656476547091,2.3768590228274844,Jan - Mar 2014,Apr - Jun 2014
Somalia,2014-04-01,12695867.304954529,491059.2077732086,0.0,,170720.08174037933,12806933.527610779,379992.9851169586,0.0,,1284341.4501485825,11847298.640413284,226006.50390625,0.0,,170720.08174037933,0.0,0.0,0.0,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,1.2780700592204668,95.04568948704141,3.676240453738115,0.0,0.0,491059.2077732086,3.676240453738115,0.0,0.0,12866587.386694908,96.32375954626188,1.2780700592204668,95.87716995682901,2.8447599839505218,0.0,0.0,379992.9851169586,2.8447599839505218,0.0,0.0,12977653.609351158,97.15524001604948,9.615027924757904,88.69300858221297,1.6919634930291347,0.0,0.0,226006.50390625,1.6919634930291347,0.0,0.0,13131640.090561867,98.30803650697086,-1.9842769607089803,-0.8314804697875933,Apr - Jun 2014,Jul - Sep 2014
Somalia,2014-07-01,11887683.197288513,1253407.4572849274,87328.8046875,,129227.13520717621,11887683.197288513,1253407.4572849274,87328.8046875,,129227.13520717621,11887683.197288513,1253407.4572849274,87328.8046875,,129227.13520717621,0.0,0.0,0.0,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,0.9674393935582473,88.99534145641816,9.383445268001092,0.6537738820224964,0.0,1340736.2619724274,10.037219150023589,87328.8046875,0.6537738820224964,12016910.33249569,89.96278084997641,0.9674393935582473,88.99534145641816,9.383445268001092,0.6537738820224964,0.0,1340736.2619724274,10.037219150023589,87328.8046875,0.6537738820224964,12016910.33249569,89.96278084997641,0.9674393935582473,88.99534145641816,9.383445268001092,0.6537738820224964,0.0,1340736.2619724274,10.037219150023589,87328.8046875,0.6537738820224964,12016910.33249569,89.96278084997641,0.0,0.0,Jul - Sep 2014,Oct - Dec 2014
Somalia,2014-10-01,12073961.35597992,1112965.156747818,0.0,,170720.08174037933,11840776.15309906,1346150.3596286774,0.0,,1962653.3563985825,11010747.356966019,384245.8811035156,0.0,,170720.08174037933,0.0,0.0,0.0,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,13357646.594468117,1.2780700592204668,90.38988470454206,8.332045236237475,0.0,0.0,1112965.156747818,8.332045236237475,0.0,0.0,12244681.437720299,91.66795476376252,1.2780700592204668,88.64417896789358,10.07775097288595,0.0,0.0,1346150.3596286774,10.07775097288595,0.0,0.0,12011496.23483944,89.92224902711405,14.693107371259456,82.4302939825191,2.8765986462214514,0.0,0.0,384245.8811035156,2.8765986462214514,0.0,0.0,12973400.713364601,97.12340135377855,-5.455446590016024,1.7457057366484747,Oct - Dec 2014,Jan - Mar 2015
