,date,ADMIN1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2
43,2010-01-01,Hiraan,0.0,0.0,526768.6328125,,0.0,0.0,0.0,526768.6328125,,0.0,0.0,25.18730926513672,526743.4453125,,0.0,0.0,0.0,0.0,526768.6328125,526768.6328125,526768.6328125,526768.6328125,526768.6326217651,526768.6326217651
44,2010-01-01,Lower Juba,610493.65625,0.0,0.0,,0.0,610493.65625,0.0,0.0,,0.0,610493.65625,0.0,0.0,,0.0,0.0,0.0,0.0,610493.65625,610493.65625,610493.65625,610493.65625,610493.65625,610493.65625
45,2010-01-01,Lower Shabelle,229514.71643066406,1149003.123046875,1566.3303833007812,,0.0,229514.71643066406,1149003.123046875,1566.3303833007812,,0.0,229514.71643066406,1149003.123046875,1566.3303833007812,,0.0,0.0,0.0,0.0,1380084.1698608398,1380084.1698608398,1380084.1698608398,1380084.1698608398,1380084.1698608398,1380084.1698608398
46,2010-01-01,Middle Juba,380810.140625,121.82552337646484,0.0,,0.0,380810.140625,121.82552337646484,0.0,,0.0,380810.140625,121.82552337646484,0.0,,0.0,0.0,0.0,0.0,380931.96614837646,380931.96614837646,380931.96614837646,380931.96614837646,380931.96614837646,380931.96614837646
47,2010-01-01,Middle Shabelle,0.0,114456.95703125,713186.46875,,0.0,0.0,114456.95703125,713186.46875,,0.0,0.0,114797.44616699219,712845.984375,,0.0,0.0,0.0,0.0,827643.42578125,827643.42578125,827643.42578125,827643.42578125,827643.4305419922,827643.4305419922
48,2010-01-01,Mudug,0.0,0.0,561146.53125,,0.0,0.0,0.0,561146.53125,,0.0,0.0,147938.9326171875,413207.599609375,,0.0,0.0,0.0,0.0,561146.53125,561146.53125,561146.53125,561146.53125,561146.5322265625,561146.5322265625
49,2010-01-01,Nugaal,94.41131591796875,103223.19511413574,96983.26534557343,,0.0,94.41131591796875,103223.19511413574,96983.26534557343,,0.0,0.0,124283.56132507324,76017.31222057343,,0.0,0.0,0.0,0.0,200300.87177562714,200300.87177562714,200300.87177562714,200300.87177562714,200300.87354564667,200300.87354564667
50,2010-01-01,Sanaag,332.151611328125,335542.3046875,95739.2578125,,0.0,332.151611328125,335542.3046875,95739.2578125,,0.0,0.0,332.151611328125,431281.5859375,,0.0,0.0,0.0,0.0,431613.7141113281,431613.7141113281,431613.7141113281,431613.7141113281,431613.7375488281,431613.7375488281
51,2010-01-01,Sool,61.41008758544922,215584.111328125,19526.34130859375,,0.0,61.41008758544922,215584.111328125,19526.34130859375,,0.0,0.0,215511.271484375,19660.592361450195,,0.0,0.0,0.0,0.0,235171.8627243042,235171.8627243042,235171.8627243042,235171.8627243042,235171.8638458252,235171.8638458252
52,2010-01-01,Togdheer,0.0,479516.4453125,166957.673828125,,0.0,0.0,479516.4453125,166957.673828125,,0.0,0.0,479510.4453125,166963.697265625,,0.0,0.0,0.0,0.0,646474.119140625,646474.119140625,646474.119140625,646474.119140625,646474.142578125,646474.142578125
