ADMIN0,ADMIN1,ADMIN2,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,period_ML1,period_ML2
Somalia,Woqooyi Galbeed,Hargeysa,2009-07-01,0.0,0.0,0.0,874164.25,0.0,0.0,0.0,0.0,874164.25,0.0,0.0,0.0,0.0,874164.25,0.0,0.0,0.0,0.0,0.0,874164.25,0.0,874164.25,0.0,874164.25,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Woqooyi Galbeed,Gebiley,2009-07-01,0.0,0.0,0.0,127725.515625,0.0,0.0,0.0,0.0,127725.515625,0.0,0.0,0.0,0.0,127725.515625,0.0,0.0,0.0,0.0,0.0,127725.515625,0.0,127725.515625,0.0,127725.515625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Woqooyi Galbeed,Berbera,2009-07-01,0.0,0.0,0.0,91844.9296875,0.0,0.0,0.0,0.0,91844.9296875,0.0,0.0,0.0,0.0,91844.9296875,0.0,0.0,0.0,0.0,0.0,91844.9296875,0.0,91844.9296875,0.0,91844.9296875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Togdheer,Sheikh,2009-07-01,0.0,0.0,0.0,48916.8671875,0.0,0.0,0.0,0.0,48916.8671875,0.0,0.0,0.0,0.0,48916.8671875,0.0,0.0,0.0,0.0,0.0,48916.8671875,0.0,48916.8671875,0.0,48916.8671875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Togdheer,Owdweyne,2009-07-01,0.0,0.0,0.0,74226.484375,0.0,0.0,0.0,0.0,74226.484375,0.0,0.0,0.0,0.0,74226.484375,0.0,0.0,0.0,0.0,0.0,74226.484375,0.0,74226.484375,0.0,74226.484375,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Togdheer,Buuhoodle,2009-07-01,0.0,0.0,0.0,58613.4296875,0.0,0.0,0.0,0.0,58613.4296875,0.0,0.0,0.0,0.0,58613.4296875,0.0,0.0,0.0,0.0,0.0,58613.4296875,0.0,58613.4296875,0.0,58613.4296875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Togdheer,Burco,2009-07-01,0.0,0.0,0.0,447110.9375,0.0,0.0,0.0,0.0,447110.9375,0.0,0.0,0.0,0.0,447110.9375,0.0,0.0,0.0,0.0,0.0,447110.9375,0.0,447110.9375,0.0,447110.9375,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Sool,Xudun,2009-07-01,0.0,0.0,0.0,29277.75390625,0.0,0.0,0.0,0.0,29277.75390625,0.0,0.0,0.0,0.0,29277.75390625,0.0,0.0,0.0,0.0,0.0,29277.75390625,0.0,29277.75390625,0.0,29277.75390625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Sool,Taleex,2009-07-01,0.0,0.0,0.0,38657.01953125,0.0,0.0,0.0,0.0,38657.01953125,0.0,0.0,0.0,0.0,38657.01953125,0.0,0.0,0.0,0.0,0.0,38657.01953125,0.0,38657.01953125,0.0,38657.01953125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Sool,Laas Caanood,2009-07-01,0.0,0.0,0.0,117446.296875,0.0,0.0,0.0,0.0,117446.296875,0.0,0.0,0.0,0.0,117446.296875,0.0,0.0,0.0,0.0,0.0,117446.296875,0.0,117446.296875,0.0,117446.296875,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Sool,Caynabo,2009-07-01,0.0,0.0,0.0,43634.62890625,0.0,0.0,0.0,0.0,43634.62890625,0.0,0.0,0.0,0.0,43634.62890625,0.0,0.0,0.0,0.0,0.0,43634.62890625,0.0,43634.62890625,0.0,43634.62890625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Sanaag,Laasqoray,2009-07-01,0.0,0.0,0.0,132479.0625,0.0,0.0,0.0,0.0,132479.0625,0.0,0.0,0.0,0.0,132479.0625,0.0,0.0,0.0,0.0,0.0,132479.0625,0.0,132479.0625,0.0,132479.0625,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
Somalia,Sanaag,Ceerigaabo,2009-07-01,0.0,0.0,0.0,180258.3125,0.0,0.0,0.0,0.0,180258.3125,0.0,0.0,0.0,0.0,180258.3125,0.0,0.0,0.0,0.0,0.0,180258.3125,0.0,180258.3125,0.0,180258.3125,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,Jul - Sep 2009,Oct - Dec 2009
