ADMIN0,date,CS_1,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p
Ethiopia,2012-01-01,39701160.0,37780016.0,10805177.0,223418.4375,3958599.0,39700956.0,37780224.0,10805177.0,223418.4375,3958599.0,39184524.0,27715422.0,19933304.0,1676522.75,3958599.0,0,0.0,0.0,88509771.4375,92468370.4375,88509775.4375,92468374.4375,88509772.75,92468371.75,44.85511526604093,42.68457073881143,12.20789165366892,0.25242234147871906,0.0,11028595.4375,12.460313995147638,223418.4375,0.25242234147871906,77481176.0,87.53968600485236,44.85488275589887,42.684803812069326,12.207891101960746,0.25242233007105974,0.0,11028595.4375,12.460313432031805,223418.4375,0.25242233007105974,77481180.0,87.5396865679682,44.271409565900164,31.313403185751596,22.521020425961947,1.8941668223862884,0.0,21609826.75,24.415187248348232,1676522.75,1.8941668223862884,66899946.0,75.58481275165177,11.954873253200594,-5.631158330743347e-07
Ethiopia,2012-04-01,35823452.0,34348445.45996094,18337875.160461426,0.0,3958599.0,35547986.46875,33538086.856323242,19423583.0,0.0,3958599.0,35262862.46875,37693274.125,15553646.5,0.0,3958599.0,0,0.0,0.0,88509772.62042236,92468371.62042236,88509656.32507324,92468255.32507324,88509783.09375,92468382.09375,40.47400749025792,38.80751745602782,20.718475053714265,0.0,0.0,18337875.160461426,20.718475053714265,0.0,0.0,70171897.45996094,79.28152494628573,40.16283414116011,37.892008904821026,21.945156954018856,0.0,0.0,19423583.0,21.945156954018856,0.0,0.0,69086073.32507324,78.05484304598114,39.84063821668097,42.58656253295198,17.572799250367048,0.0,0.0,15553646.5,17.572799250367048,0.0,0.0,72956136.59375,82.42720074963296,-3.145675803347217,1.226681900304591
Ethiopia,2012-07-01,29819964.0,26256940.625,32309293.0,0.0,4082370.5,29819964.0,26256528.5,32309698.0,0.0,4082370.5,46620076.0,35559815.0,6206103.125,0.0,4082370.5,0,0.0,0.0,88386197.625,92468568.125,88386190.5,92468561.0,88385994.125,92468364.625,33.73825868889447,29.707059847060595,36.55468146404493,0.0,0.0,32309293.0,36.55468146404493,0.0,0.0,56076904.625,63.44531853595507,33.73826140860772,29.706595964219098,36.55514262717319,0.0,0.0,32309698.0,36.55514262717319,0.0,0.0,56076492.5,63.44485737282681,52.74599947822899,40.23240939023607,7.021591131534947,0.0,0.0,6206103.125,7.021591131534947,0.0,0.0,82179891.0,92.97840886846505,-29.533090332509985,0.0004611631282571693
Ethiopia,2012-10-01,46642316.0,36067459.0,6207683.625,0.0,3550920.0,46449020.0,36260999.0,6207445.625,0.0,3550920.0,38428084.0,25023752.778320312,25465623.5,0.0,3550920.0,0,0.0,0.0,88917458.625,92468378.625,88917464.625,92468384.625,88917460.27832031,92468380.27832031,52.45574572335568,40.5628540870817,6.9814001895626046,0.0,0.0,6207683.625,6.9814001895626046,0.0,0.0,82709775.0,93.0185998104374,52.2383540690165,40.780513876466145,6.98113205451735,0.0,0.0,6207445.625,6.98113205451735,0.0,0.0,82710019.0,93.01886794548265,43.217703114457336,28.142676027850467,28.6396208576922,0.0,0.0,25465623.5,28.6396208576922,0.0,0.0,63451836.77832031,71.3603791423078,21.658220668129594,-0.00026813504525424747
Ethiopia,2013-01-01,43053376.0,38151366.0,10521779.0,0.0,3389790.0,41335992.0,25033109.0,25357297.0,0.0,3389790.0,39687760.0,19806908.75,32231740.0,0.0,3389790.0,0,0.0,0.0,91726521.0,95116311.0,91726398.0,95116188.0,91726408.75,95116198.75,46.93667167426965,41.59251390336716,11.47081442236319,0.0,0.0,10521779.0,11.47081442236319,0.0,0.0,81204742.0,88.52918557763681,45.064444806826494,27.29106292825322,27.644492264920288,0.0,0.0,25357297.0,27.644492264920288,0.0,0.0,66369101.0,72.3555077350797,43.267539349729525,21.593463670842777,35.138996979427695,0.0,0.0,32231740.0,35.138996979427695,0.0,0.0,59494668.75,64.86100302057231,23.668182557064505,16.173677842557098
Ethiopia,2013-04-01,39710000.0,18689348.0,33327179.0,0.0,3389790.0,39710000.0,20127244.5,31889290.0,0.0,3389790.0,39710008.0,27808315.0,24207928.0,146.93630981445312,3389790.0,0,0.0,0.0,91726527.0,95116317.0,91726534.5,95116324.5,91726397.93630981,95116187.93630981,43.29172955605307,20.37507426831935,36.33319617562758,0.0,0.0,33327179.0,36.33319617562758,0.0,0.0,58399348.0,63.66680382437242,43.291726016314286,21.9426631668942,34.765610816791515,0.0,0.0,31889290.0,34.765610816791515,0.0,0.0,59837244.5,65.23438918320849,43.29179919130001,30.31658892711419,26.39145169181152,0.00016018977428556422,0.0,24208074.936309814,26.391611881585803,146.93630981445312,0.00016018977428556422,67518323.0,73.6083881184142,-9.941584294041775,-1.5675853588360624
Ethiopia,2013-07-01,39881176.0,26536619.0,25306112.0,0.0,3389790.0,39881188.0,26537040.0,25305826.0,0.0,3389790.0,41108440.0,47364687.772125244,3243524.505420685,0.0,3397183.5,0,0.0,0.0,91723907.0,95113697.0,91724054.0,95113844.0,91716652.27754593,95113835.77754593,43.47958706120096,28.930973252153336,27.589439686645704,0.0,0.0,25306112.0,27.589439686645704,0.0,0.0,66417795.0,72.4105603133543,43.47953046209667,28.931385871801957,27.58908366610137,0.0,0.0,25305826.0,27.58908366610137,0.0,0.0,66418228.0,72.41091633389864,44.821130055642215,51.6424079989246,3.536461945433179,0.0,0.0,3243524.505420685,3.536461945433179,0.0,0.0,88473127.77212524,96.46353805456683,-24.052977741212526,-0.0003560205443342568
Ethiopia,2013-10-01,40690260.0,48741521.93640137,2294744.5,0.0,3389790.0,40690348.0,48741437.93640137,2294744.5,0.0,3389790.0,40690128.0,44565900.0,6470377.5,0.0,3389790.0,0,0.0,0.0,91726526.43640137,95116316.43640137,91726530.43640137,95116320.43640137,91726405.5,95116195.5,44.36040650488669,53.13786952370461,2.5017239714087096,0.0,0.0,2294744.5,2.5017239714087096,0.0,0.0,89431781.93640137,97.49827602859129,44.3605005077704,53.13777562991579,2.5017238623138183,0.0,0.0,2294744.5,2.5017238623138183,0.0,0.0,89431785.93640137,97.49827613768618,44.36032108551338,48.58568234203835,7.053996572448268,0.0,0.0,6470377.5,7.053996572448268,0.0,0.0,85256028.0,92.94600342755173,4.552272601039558,-1.0909489134292016e-07
Ethiopia,2014-01-01,72526272.0,20023808.848754883,1783923.125,0.0,3470158.5,72526272.0,19957828.0,1849900.125,0.0,3470158.5,44196136.0,42882958.0,7254895.5,0.0,3470158.5,0,0.0,0.0,94334003.97375488,97804162.47375488,94334000.125,97804158.625,94333989.5,97804148.0,76.88242727423919,21.226501585076154,1.8910711406846612,0.0,0.0,1783923.125,1.8910711406846612,0.0,0.0,92550080.84875488,98.10892885931534,76.88243041098328,21.1565585828591,1.9610110061576276,0.0,0.0,1849900.125,1.9610110061576276,0.0,0.0,92484100.0,98.03898899384237,46.850701676303004,45.45864987508029,7.69064844861671,0.0,0.0,7254895.5,7.69064844861671,0.0,0.0,87079094.0,92.30935155138329,5.799577307932049,0.06993986547296638
Ethiopia,2014-04-01,44150972.0,42928136.0,7254895.5,0.0,3470158.5,44150972.0,42926646.0,7256386.692871094,0.0,3470158.5,56916220.0,33648823.0,3768953.6928710938,0.0,3470158.5,0,0.0,0.0,94334003.5,97804162.0,94334004.6928711,97804163.1928711,94333996.6928711,97804155.1928711,46.80281803157013,45.50653466117337,7.690647307256497,0.0,0.0,7254895.5,7.690647307256497,0.0,0.0,87079108.0,92.3093526927435,46.80281743973976,45.50495459167547,7.692227968584763,0.0,0.0,7256386.692871094,7.692227968584763,0.0,0.0,87077618.0,92.30777203141524,60.33479126862989,35.669879555249324,3.9953291761207836,0.0,0.0,3768953.6928710938,3.9953291761207836,0.0,0.0,90565043.0,96.00467082387921,-3.6953181311357133,0.0015806613282665083
