,date,CS,admin0Name,admin1Name,admin2Name,ML1,ML2,admin1Name_fr,admin2Name_fr,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
49,2009-07-01,2.0,Tchad,Sila,Djourf Al Ahmar,2.0,2.0,Sila,Djourf Al Ahmar,118615.0,83892,0.0,83892.0,0.0,0.0,0.0,83892.0,0.0,83892.0,0.0,0.0,0.0,83892.0,0.0,83892.0,0.0,0.0,0.0,83892.0
50,2009-07-01,2.0,Tchad,Tibesti,Tibesti Est,2.0,2.0,Tibesti,Tibesti Est,21332.0,15087,0.0,15087.0,0.0,0.0,0.0,15087.0,0.0,15087.0,0.0,0.0,0.0,15087.0,0.0,15087.0,0.0,0.0,0.0,15087.0
51,2009-07-01,2.0,Tchad,Tibesti,Tibesti Ouest,2.0,2.0,Tibesti,Tibesti Ouest,16452.0,11635,0.0,11635.0,0.0,0.0,0.0,11635.0,0.0,11635.0,0.0,0.0,0.0,11635.0,0.0,11635.0,0.0,0.0,0.0,11635.0
52,2009-07-01,2.0,Tchad,Ennedi Ouest,Fada,2.0,2.0,Ennedi Ouest,Fada,58053.0,41058,0.0,41058.0,0.0,0.0,0.0,41058.0,0.0,41058.0,0.0,0.0,0.0,41058.0,0.0,41058.0,0.0,0.0,0.0,41058.0
53,2009-07-01,2.0,Tchad,Ennedi Ouest,Mourtcha,2.0,2.0,Ennedi Ouest,Mourtcha,31260.0,22109,0.0,22109.0,0.0,0.0,0.0,22109.0,0.0,22109.0,0.0,0.0,0.0,22109.0,0.0,22109.0,0.0,0.0,0.0,22109.0
54,2009-07-01,2.0,Tchad,Moyen-Chari,Bahr-Köh,2.0,1.0,Moyen-Chari,Bahr-Köh,457954.0,323895,0.0,323895.0,0.0,0.0,0.0,323895.0,0.0,323895.0,0.0,0.0,0.0,323895.0,323895.0,0.0,0.0,0.0,0.0,323895.0
55,2009-07-01,1.0,Tchad,Tandjilé,Tandjile Ouest,2.0,1.0,Tandjilé,Tandjile Ouest,480509.0,339847,339847.0,0.0,0.0,0.0,0.0,339847.0,0.0,339847.0,0.0,0.0,0.0,339847.0,339847.0,0.0,0.0,0.0,0.0,339847.0
56,2009-07-01,1.0,Tchad,Tandjilé,Tandjilé Centre,2.0,1.0,Tandjilé,Tandjilé Centre,132455.0,93680,93680.0,0.0,0.0,0.0,0.0,93680.0,0.0,93680.0,0.0,0.0,0.0,93680.0,93680.0,0.0,0.0,0.0,0.0,93680.0
57,2009-07-01,2.0,Tchad,Borkou,Borkou Yala,2.0,2.0,Borkou,Borkou Yala,37209.0,26316,0.0,26316.0,0.0,0.0,0.0,26316.0,0.0,26316.0,0.0,0.0,0.0,26316.0,0.0,26316.0,0.0,0.0,0.0,26316.0
58,2009-07-01,3.0,Tchad,Barh-El-Gazel,Barh-El-Gazel Nord,3.0,2.0,Barh-El-Gazel,Barh-El-Gazel Nord,78423.0,55465,0.0,0.0,55465.0,0.0,0.0,55465.0,0.0,0.0,55465.0,0.0,0.0,55465.0,0.0,55465.0,0.0,0.0,0.0,55465.0
59,2009-07-01,3.0,Tchad,Wadi Fira,Mégri,3.0,2.0,Wadi Fira,Mégri,30023.0,21234,0.0,0.0,21234.0,0.0,0.0,21234.0,0.0,0.0,21234.0,0.0,0.0,21234.0,0.0,21234.0,0.0,0.0,0.0,21234.0
60,2009-07-01,2.0,Tchad,Mayo-Kebbi Ouest,Mayo-Dallah,2.0,1.0,Mayo-Kebbi Ouest,Mayo-Dallah,501337.0,354578,0.0,354578.0,0.0,0.0,0.0,354578.0,0.0,354578.0,0.0,0.0,0.0,354578.0,354578.0,0.0,0.0,0.0,0.0,354578.0
61,2009-07-01,1.0,Tchad,Lac,Fouli,2.0,1.0,Lac,Fouli,105243.0,74434,74434.0,0.0,0.0,0.0,0.0,74434.0,0.0,74434.0,0.0,0.0,0.0,74434.0,74434.0,0.0,0.0,0.0,0.0,74434.0
62,2009-07-01,1.0,Tchad,Lac,Kaya,2.0,1.0,Lac,Kaya,57297.0,40524,40524.0,0.0,0.0,0.0,0.0,40524.0,0.0,40524.0,0.0,0.0,0.0,40524.0,40524.0,0.0,0.0,0.0,0.0,40524.0
63,2009-07-01,3.0,Tchad,Kanem,Kanem,3.0,2.0,Kanem,Kanem,228931.0,161914,0.0,0.0,161914.0,0.0,0.0,161914.0,0.0,0.0,161914.0,0.0,0.0,161914.0,0.0,161914.0,0.0,0.0,0.0,161914.0
64,2009-07-01,3.0,Tchad,Kanem,Wadi Bissam,3.0,2.0,Kanem,Wadi Bissam,133384.0,94337,0.0,0.0,94337.0,0.0,0.0,94337.0,0.0,0.0,94337.0,0.0,0.0,94337.0,0.0,94337.0,0.0,0.0,0.0,94337.0
