admin2Pcode,admin2Name_fr,admin2RefName,admin1Pcode,admin1Name_fr,Proj2016_Hommes,Proj2016_Femmes,Proj2016_Total,Proj2017_Hommes,Proj2017_Femmes,Proj2017_Total,Proj2018_Hommes,Proj2018_Femmes,Proj2018_Total,Proj2019_Hommes,Proj2019_Femmes,Proj2019_Total,Proj2020_Hommes,Proj2020_Femmes,Proj2020_Total,Proj2021_Hommes,Proj2021_Femmes,Proj2021_Total
TD1001,Mandoul Oriental,Mandoul Oriental,TD10,Mandoul,159561,169135,328696,165901,175856,341757,"171,646","181,946","353,592","177,590","188,246","365,836","183,762","194,787","378,549","189,086","200,430","389,516"
TD1002,Barh-Sara,Barh-Sara,TD10,Mandoul,136659,142159,278817,142089,147807,289896,"147,010","152,926","299,935","152,100","158,221","310,322","157,386","163,719","321,105","161,946","168,462","330,408"
TD1003,Mandoul Occidental,Mandoul Occidental,TD10,Mandoul,95980,102557,198537,99794,106633,206427,"103,250","110,325","213,575","106,826","114,145","220,971","110,538","118,112","228,650","113,740","121,534","235,274"
TD1101,Mayo-Boneye,Mayo-Boneye,TD11,Mayo-Kebbi Est,147459,155378,302838,152849,161056,313906,"158,364","166,868","325,233","164,095","172,906","337,001","170,051","179,182","349,233","174,978","184,373","359,351"
TD1102,Kabbia,Kabbia,TD11,Mayo-Kebbi Est,139618,154065,293683,144720,159696,304416,"149,942","165,458","315,400","155,367","171,445","326,812","161,006","177,669","338,675","165,671","182,816","348,487"
TD1103,Mayo-Lemié,Mayo-Lemie,TD11,Mayo-Kebbi Est,51880,53423,105303,53776,55376,109152,"55,716","57,374","113,090","57,732","59,450","117,182","59,828","61,608","121,436","61,561","63,393","124,954"
TD1104,Mont Illi,Mont Illi,TD11,Mayo-Kebbi Est,137494,155027,292520,142520,160693,303212,"147,662","166,491","314,152","153,005","172,515","325,520","158,559","178,776","337,335","163,153","183,955","347,108"
TD1201,Mayo-Dallah,Mayo-Dallah,TD12,Mayo-Kebbi Ouest,208194,221412,429607,217793,231620,449414,"225,872","240,212","466,085","234,254","249,126","483,379","242,956","258,381","501,337","249,995","265,866","515,861"
TD1202,Lac Léré,Lac Lere,TD12,Mayo-Kebbi Ouest,34078,36381,70459,35649,38058,73707,"117,732","125,685","243,417","122,101","130,348","252,449","126,725","135,104","261,829","130,396","139,018","269,414"
TD1203,Mayo-Binder,Mayo-Binder,TD12,Mayo-Kebbi Ouest,108855,115511,224366,113873,120837,234710,"37,087","39,355","76,442","38,463","40,815","79,278","39,796","42,428","82,224","40,949","43,657","84,606"
TD1301,Bahr-Koh,Bahr-Koh,TD13,Moyen-Chari,195304,198408,393711,204433,207683,412115,"211,768","215,134","426,901","219,340","222,827","442,167","227,171","230,783","457,954","233,753","237,469","471,222"
TD1302,Grande Sido,Grande Sido,TD13,Moyen-Chari,68275,69096,137371,71467,72326,143793,"74,031","74,921","148,952","76,678","77,600","154,278","79,415","80,371","159,786","81,716","82,699","164,415"
TD1303,Lac Iro,Lac Iro,TD13,Moyen-Chari,110906,112653,223559,116091,117919,234010,"120,256","122,150","242,406","124,556","126,518","251,074","129,003","131,035","260,038","132,740","134,831","267,572"
TD1401,Ouara,Ouara,TD14,Ouaddai,209796,211985,421781,218342,220620,438962,"226,054","228,412","454,466","234,035","236,476","470,512","242,304","244,832","487,136","249,324","251,925","501,249"
TD1402,Abdi,Abdi,TD14,Ouaddai,65337,71832,137169,67998,74759,142757,"70,400","77,399","147,799","72,886","80,132","153,018","75,461","82,963","158,424","77,647","85,367","163,014"
TD1403,Assoungha,Assoungha,TD14,Ouaddai,172297,194285,366583,179316,202199,381516,"185,650","209,341","394,992","192,205","216,732","408,937","198,996","224,390","423,386","204,761","230,891","435,652"
TD1501,Bahr-Azoum,Bahr-Azoum,TD15,Salamat,114644,119198,233842,119763,124521,244284,"124,063","128,992","253,055","128,512","133,618","262,131","133,123","138,412","271,535","136,980","142,422","279,402"
TD1502,Aboudéia,Aboudeia,TD15,Salamat,39397,43611,83008,41156,45558,86714,"42,634","47,194","89,828","44,163","48,887","93,050","45,748","50,640","96,388","47,073","52,107","99,181"
TD1503,Haraze-Mangueigne,Haraze-Mangueigne,TD15,Salamat,34496,36623,71119,36036,38258,74294,"37,330","39,632","76,962","38,669","41,053","79,722","40,057","42,525","82,582","41,218","43,757","84,975"
TD1601,Tandjilé Est,Tandjile Est,TD16,Tandjile,155778,171016,326795,163913,179945,343859,"169,956","186,580","356,537","176,208","193,444","369,652","182,685","200,554","383,239","187,978","206,364","394,342"
TD1602,Tandjilé Ouest,Tandjile Ouest,TD16,Tandjile,54044,58903,112947,56866,61979,118845,"213,899","233,130","447,029","221,768","241,706","463,474","229,919","250,590","480,509","236,580","257,850","494,430"
TD1603,Tandjilé Centre,Tandjile Centre,TD16,Tandjile,192450,217288,409738,202499,228634,431133,"57,878","65,348","123,226","60,007","67,752","127,759","62,213","70,242","132,455","64,015","72,277","136,292"
TD1701,Biltine,Biltine,TD17,Wadi Fira,102456,114500,216956,106482,118999,225481,"110,343","123,314","233,657","114,355","127,797","242,152","118,519","132,451","250,970","121,953","136,288","258,241"
TD1702,Dar-Tama,Dar-Tama,TD17,Wadi Fira,111696,118517,230213,116085,123175,239260,"120,294","127,641","247,935","124,667","132,282","256,949","129,207","137,099","266,306","132,950","141,071","274,021"
TD1703,Kobé,Kobe,TD17,Wadi Fira,87578,91492,179070,91019,95087,186106,"94,455","98,676","193,131","97,889","102,264","200,153","101,454","105,988","207,442","104,393","109,059","213,452"
TD1704,Mégri,Megri,TD17,Wadi Fira,12948,13264,26212,13457,13785,27242,"13,808","14,144","27,952","14,310","14,658","28,968","14,831","15,192","30,023","15,261","15,632","30,893"
TD1801,N'Djaména,NDjamena,TD18,N'Djamena,649673,571363,1221036,739737,650572,1390309,"773,982","680,689","1,454,671","809,743","712,139","1,521,882","847,188","745,070","1,592,258","871,733","766,656","1,638,389"
TD1901,Barh-El-Gazel Sud,Barh-El-Gazel Sud,TD19,Barh-El-Gazel,96114,85233,181347,98303,87175,185478,"101,798","90,274","192,072","105,273","93,356","198,629","108,858","96,536","205,394","112,012","99,333","211,345"
TD1902,Barh-El-Gazel Nord,Barh-El-Gazel Nord,TD19,Barh-El-Gazel,38862,30533,69395,39747,31229,70976,"41,069","32,267","73,336","42,471","33,369","75,840","43,918","34,505","78,423","45,190","35,505","80,695"
TD1903,Barh-El-Gazel Ouest,Barh-El-Gazel Ouest,TD19,Barh-El-Gazel,43686,35744,79430,44682,36558,81240,"46,097","37,716","83,813","47,671","39,004","86,674","49,294","40,332","89,626","50,722","41,500","92,223"
TD2001,Am-Djarass,Am-Djarass,TD20,Ennedi Est,56054,45861,101915,58239,47649,105888,"60,225","49,274","109,499","62,246","50,928","113,174","64,354","52,652","117,006","66,218","54,177","120,396"
TD2002,Wadi Hawar,Wadi Hawar,TD20,Ennedi Est,19686,16108,35794,20454,16736,37190,"21,151","17,306","38,457","21,860","17,887","39,747","22,600","18,493","41,093","23,255","19,029","42,284"
TD2101,Kimiti,Kimiti,TD21,Sila,195195,197435,392630,199831,202123,401954,"206,590","208,960","415,550","213,614","216,065","429,678","221,281","223,820","445,101","227,692","230,304","457,996"
TD2102,Djourf Al Ahmar,Djourf Al Ahmar,TD21,Sila,51384,53247,104631,52604,54512,107116,"54,384","56,356","110,740","56,233","58,272","114,505","58,251","60,364","118,615","59,939","62,113","122,051"
TD2201,Tibesti Est,Tibesti Est,TD22,Tibesti,9733,8731,18464,10157,9112,19269,"10,513","9,431","19,944","10,876","9,756","20,632","11,245","10,087","21,332","11,571","10,379","21,950"
TD2202,Tibesti Ouest,Tibesti Ouest,TD22,Tibesti,7813,6427,14240,8155,6707,14862,"8,440","6,942","15,382","8,731","7,182","15,913","9,027","7,425","16,452","9,289","7,640","16,929"
TD2301,Fada,Fada,TD23,Ennedi Ouest,27744,22698,50442,28825,23583,52408,"29,882","24,448","54,330","30,884","25,268","56,152","31,930","26,123","58,053","32,855","26,880","59,735"
TD2303,Mourtcha,Mourtcha,TD23,Ennedi Ouest,15044,12309,27353,15631,12788,28419,"16,090","13,164","29,254","16,630","13,606","30,236","17,193","14,067","31,260","17,691","14,475","32,166"
