,date,admin1Name,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
60,2010-04-01,Gedo,508403,496702,0.0,231966.0,0.0,264736.0,0.0,0.0,231966.0,0.0,264736.0,0.0,0.0,231966.0,264736.0,0.0,0.0,496702.0,496702.0,496702.0
61,2010-04-01,Hiraan,520686,508704,0.0,0.0,0.0,508704.0,0.0,0.0,0.0,0.0,508704.0,0.0,0.0,0.0,0.0,508704.0,0.0,508704.0,508704.0,508704.0
62,2010-04-01,Lower Juba,489307,478047,0.0,478047.0,0.0,0.0,0.0,0.0,478047.0,0.0,0.0,0.0,0.0,478047.0,0.0,0.0,0.0,478047.0,478047.0,478047.0
63,2010-04-01,Lower Shabelle,1202219,1174554,0.0,72367.0,1102187.0,0.0,0.0,0.0,72367.0,1102187.0,0.0,0.0,0.0,72367.0,1102187.0,0.0,0.0,1174554.0,1174554.0,1174554.0
64,2010-04-01,Middle Juba,362921,354569,0.0,354569.0,0.0,0.0,0.0,0.0,354569.0,0.0,0.0,0.0,0.0,354569.0,0.0,0.0,0.0,354569.0,354569.0,354569.0
65,2010-04-01,Middle Shabelle,516035,504160,0.0,0.0,0.0,504160.0,0.0,0.0,0.0,0.0,504160.0,0.0,0.0,0.0,504160.0,0.0,0.0,504160.0,504160.0,504160.0
66,2010-04-01,Mudug,717862,701342,0.0,0.0,0.0,701342.0,0.0,0.0,0.0,0.0,701342.0,0.0,0.0,0.0,50765.0,650577.0,0.0,701342.0,701342.0,701342.0
67,2010-04-01,Nugaal,392697,383660,0.0,0.0,241025.0,142635.0,0.0,0.0,0.0,241025.0,142635.0,0.0,0.0,0.0,320192.0,63468.0,0.0,383660.0,383660.0,383660.0
68,2010-04-01,Sanaag,544123,531602,0.0,0.0,531602.0,0.0,0.0,0.0,0.0,531602.0,0.0,0.0,0.0,0.0,531602.0,0.0,0.0,531602.0,531602.0,531602.0
69,2010-04-01,Sool,327427,319891,0.0,0.0,319891.0,0.0,0.0,0.0,0.0,319891.0,0.0,0.0,0.0,0.0,319891.0,0.0,0.0,319891.0,319891.0,319891.0
70,2010-04-01,Togdheer,721363,704763,0.0,0.0,704763.0,0.0,0.0,0.0,0.0,704763.0,0.0,0.0,0.0,0.0,704763.0,0.0,0.0,704763.0,704763.0,704763.0
71,2010-04-01,Woqooyi Galbeed,1242003,1213425,0.0,0.0,1213425.0,0.0,0.0,0.0,0.0,1213425.0,0.0,0.0,0.0,0.0,1213425.0,0.0,0.0,1213425.0,1213425.0,1213425.0
72,2010-07-01,Awdal,673264,657771,0.0,657771.0,0.0,0.0,0.0,0.0,657771.0,0.0,0.0,0.0,0.0,0.0,657771.0,0.0,0.0,657771.0,657771.0,657771.0
73,2010-07-01,Bakool,367227,358775,0.0,0.0,36785.0,321990.0,0.0,0.0,0.0,36785.0,321990.0,0.0,0.0,0.0,36785.0,321990.0,0.0,358775.0,358775.0,358775.0
74,2010-07-01,Banadir,1650228,1612257,0.0,0.0,0.0,1612257.0,0.0,0.0,0.0,0.0,1612257.0,0.0,0.0,0.0,0.0,1612257.0,0.0,1612257.0,1612257.0,1612257.0
75,2010-07-01,Bari,730147,713342,0.0,713342.0,0.0,0.0,0.0,0.0,713342.0,0.0,0.0,0.0,0.0,0.0,713342.0,0.0,0.0,713342.0,713342.0,713342.0
