ADMIN0,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,CS_88,ML1_88,ML2_88
Malawi,Northern,Karonga,2012-01-01,305694.5359765291,0.0,0.0,305694.5359765291,0.0,0.0,305694.5359765291,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,305694.5359765291,305694.5359765291,305694.5359765291,305694.5359765291,305694.5359765291,305694.5359765291,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,305694.5359765291,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,305694.5359765291,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305694.5359765291,100.0,0.0,0.0,,,
Malawi,Northern,Likoma,2012-01-01,0.0,0.0,4208.319610595703,0.0,0.0,4208.319610595703,0.0,0.0,0.0,4208.319610595703,0.0,0,0,0.0,0,0,0.0,0,0.0,4208.319610595703,0.0,4208.319610595703,0.0,4208.319610595703,,,,,,0.0,,0,,0.0,,,,,,,0.0,,0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,
Malawi,Northern,Mzimba,2012-01-01,862625.3339362144,0.0,0.0,862625.3339362144,0.0,0.0,862625.3339362144,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,862625.3339362144,862625.3339362144,862625.3339362144,862625.3339362144,862625.3339362144,862625.3339362144,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,862625.3339362144,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,862625.3339362144,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862625.3339362144,100.0,0.0,0.0,,,
Malawi,Southern,Blantyre,2012-04-01,404431.6750793457,0.0,0.0,107216.88458251953,297214.7904968262,0.0,2184.5252075195312,206678.8125,195568.33737182617,0.0,0.0,0,0,0.0,0,0,0.0,0,404431.6750793457,404431.6750793457,404431.6750793457,404431.6750793457,404431.6750793457,404431.6750793457,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,404431.6750793457,100.0,26.510506270678373,73.48949372932164,0.0,0.0,0.0,0.0,0.0,0,0.0,404431.6750793457,100.0,0.5401469128477505,51.10351766078944,48.356335426362804,0.0,0.0,195568.33737182617,48.356335426362804,0.0,0.0,208863.33770751953,51.643664573637196,48.356335426362804,0.0,,,
Malawi,Southern,Blantyre City,2012-04-01,735634.2291259766,0.0,0.0,4881.0902099609375,730753.1389160156,0.0,705.6175537109375,730978.16015625,3950.451416015625,0.0,0.0,0,0,0.0,0,0,0.0,0,735634.2291259766,735634.2291259766,735634.2291259766,735634.2291259766,735634.2291259766,735634.2291259766,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,735634.2291259766,100.0,0.663521355682466,99.33647864431754,0.0,0.0,0.0,0.0,0.0,0,0.0,735634.2291259766,100.0,0.09591961953011587,99.36706738411853,0.5370129963513586,0.0,0.0,3950.451416015625,0.5370129963513586,0.0,0.0,731683.7777099609,99.46298700364864,0.5370129963513586,0.0,,,
Malawi,Southern,Chiradzulu,2012-04-01,327816.7131347656,0.0,0.0,317209.9104309082,10606.802703857422,0.0,202716.64453125,124457.83984375,642.228759765625,0.0,0.0,0,0,0.0,0,0,0.0,0,327816.7131347656,327816.7131347656,327816.7131347656,327816.7131347656,327816.7131347656,327816.7131347656,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,327816.7131347656,100.0,96.76441063592235,3.235589364077651,0.0,0.0,0.0,0.0,0.0,0,0.0,327816.7131347656,100.0,61.8384104314758,37.96567864207256,0.19591092645163716,0.0,0.0,642.228759765625,0.19591092645163716,0.0,0.0,327174.484375,99.80408907354837,0.19591092645163716,0.0,,,
Malawi,Southern,Machinga,2012-04-01,590024.8041381836,0.0,0.0,583424.4458007812,6600.358337402344,0.0,583424.4458007812,0.0,6600.358337402344,0.0,0.0,0,0,0.0,0,0,0.0,0,590024.8041381836,590024.8041381836,590024.8041381836,590024.8041381836,590024.8041381836,590024.8041381836,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,590024.8041381836,100.0,98.88134222644366,1.1186577735563372,0.0,0.0,0.0,0.0,0.0,0,0.0,590024.8041381836,100.0,98.88134222644366,0.0,1.1186577735563372,0.0,0.0,6600.358337402344,1.1186577735563372,0.0,0.0,583424.4458007812,98.88134222644366,1.1186577735563372,0.0,,,
Malawi,Southern,Mangochi,2012-04-01,875710.6951700076,0.0,0.0,872949.809366785,2760.8858032226562,0.0,872506.3090310916,443.5003356933594,2760.8858032226562,0.0,0.0,0,0,0.0,0,0,0.0,0,875710.6951700076,875710.6951700076,875710.6951700076,875710.6951700076,875710.6951700076,875710.6951700076,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,875710.6951700076,100.0,99.68472626651126,0.31527373348873705,0.0,0.0,0.0,0.0,0.0,0,0.0,875710.6951700076,100.0,99.6340816485867,0.050644617924560084,0.31527373348873705,0.0,0.0,2760.8858032226562,0.31527373348873705,0.0,0.0,872949.809366785,99.68472626651126,0.31527373348873705,0.0,,,
Malawi,Southern,Mulanje,2012-04-01,581315.2192687988,4326.008819580078,0.0,10137.908203125,575503.3198852539,0.0,10137.908203125,571177.3110656738,4326.008819580078,0.0,0.0,0,0,0.0,0,0,0.0,0,585641.2280883789,585641.2280883789,585641.2280883789,585641.2280883789,585641.2280883789,585641.2280883789,99.26132099106123,0.7386790089387698,0.0,0.0,0.0,0.0,0.0,0,0.0,585641.2280883789,100.0,1.7310782979225452,98.26892170207745,0.0,0.0,0.0,0.0,0.0,0,0.0,585641.2280883789,100.0,1.7310782979225452,97.53024269313867,0.7386790089387698,0.0,0.0,4326.008819580078,0.7386790089387698,0.0,0.0,581315.2192687988,99.26132099106123,0.7386790089387698,0.0,,,
Malawi,Southern,Nsanje,2012-04-01,203074.64372253418,63071.19140625,0.0,0.0,266145.8351287842,0.0,0.0,738.6685028076172,265407.16662597656,0.0,0.0,0,0,0.0,0,0,0.0,0,266145.8351287842,266145.8351287842,266145.8351287842,266145.8351287842,266145.8351287842,266145.8351287842,76.3020182616306,23.697981738369396,0.0,0.0,0.0,0.0,0.0,0,0.0,266145.8351287842,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,266145.8351287842,100.0,0.0,0.27754276239197434,99.72245723760803,0.0,0.0,265407.16662597656,99.72245723760803,0.0,0.0,738.6685028076172,0.27754276239197434,99.72245723760803,0.0,,,
