,ADMIN1,ADMIN2,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_Total_CS,pop_ML1,pop_Total_ML1,pop_ML2,pop_Total_ML2,CS_88,ML1_88,ML2_88
29,Southern,Thyolo,2009-07-01,642996.125,0.0,0.0,642996.125,0.0,0.0,642996.125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,642996.125,642996.125,642996.125,642996.125,642996.125,642996.125,,,
30,Southern,Zomba,2009-07-01,527573.875,57.1639518737793,98510.125,527573.875,57.1639518737793,98510.125,527573.875,0.0,57.1639518737793,98510.125,0.0,0,0,0.0,0,0,0.0,0,527631.0389518738,626141.1639518738,527631.0389518738,626141.1639518738,527631.0389518738,626141.1639518738,,,
31,Southern,Zomba City,2009-07-01,79436.0,0.0,4183.390625,79436.0,0.0,4183.390625,79436.0,0.0,0.0,4183.390625,0.0,0,0,0.0,0,0,0.0,0,79436.0,83619.390625,79436.0,83619.390625,79436.0,83619.390625,,,
32,Central,Dedza,2009-10-01,663581.0625,0.0,2496.515625,663581.0625,0.0,2496.515625,663581.0625,0.0,0.0,2496.515625,0.0,0,0,0.0,0,0,0.0,0,663581.0625,666077.578125,663581.0625,666077.578125,663581.0625,666077.578125,,,
33,Central,Dowa,2009-10-01,609900.125,0.0,0.0,609900.125,0.0,0.0,609900.125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,609900.125,609900.125,609900.125,609900.125,609900.125,609900.125,,,
34,Central,Kasungu,2009-10-01,673385.9375,0.0,907.8709716796875,673385.9375,0.0,907.8709716796875,673385.9375,0.0,0.0,907.8709716796875,0.0,0,0,0.0,0,0,0.0,0,673385.9375,674293.8084716797,673385.9375,674293.8084716797,673385.9375,674293.8084716797,,,
35,Central,Lilongwe,2009-10-01,1295119.625,0.0,55501.6953125,1295119.625,0.0,55501.6953125,1295119.625,0.0,0.0,55501.6953125,0.0,0,0,0.0,0,0,0.0,0,1295119.625,1350621.3203125,1295119.625,1350621.3203125,1295119.625,1350621.3203125,,,
36,Central,Lilongwe City,2009-10-01,739040.1875,0.0,0.0,739040.1875,0.0,0.0,739040.1875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,739040.1875,739040.1875,739040.1875,739040.1875,739040.1875,739040.1875,,,
37,Central,Mchinji,2009-10-01,488385.875,0.0,0.0,488385.875,0.0,0.0,488385.875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,488385.875,488385.875,488385.875,488385.875,488385.875,488385.875,,,
38,Central,Nkhotakota,2009-10-01,310828.25,0.0,0.0,310828.25,0.0,0.0,310828.25,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,310828.25,310828.25,310828.25,310828.25,310828.25,310828.25,,,
39,Central,Ntcheu,2009-10-01,500464.75,507.57952880859375,0.0,500464.75,507.57952880859375,0.0,500464.75,0.0,507.57952880859375,0.0,0.0,0,0,0.0,0,0,0.0,0,500972.3295288086,500972.3295288086,500972.3295288086,500972.3295288086,500972.3295288086,500972.3295288086,,,
40,Central,Ntchisi,2009-10-01,241872.8125,0.0,0.0,241872.8125,0.0,0.0,241872.8125,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,241872.8125,241872.8125,241872.8125,241872.8125,241872.8125,241872.8125,,,
41,Central,Salima,2009-10-01,358398.6875,0.0,0.0,358398.6875,0.0,0.0,358398.6875,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,358398.6875,358398.6875,358398.6875,358398.6875,358398.6875,358398.6875,,,
42,Northern,Chitipa,2009-10-01,189567.890625,0.0,0.0,189567.890625,0.0,0.0,189567.890625,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,189567.890625,189567.890625,189567.890625,189567.890625,189567.890625,189567.890625,,,
43,Northern,Karonga,2009-10-01,279507.375,0.0,0.0,279507.375,0.0,0.0,279507.375,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,279507.375,279507.375,279507.375,279507.375,279507.375,279507.375,,,
