ADMIN0,ADMIN1,date,CS_1,CS_2,CS_99,ML1_1,ML1_2,ML1_99,ML2_1,ML2_2,ML2_3,ML2_99,CS_3,CS_4,CS_5,ML1_3,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,CS_88,ML1_88,ML2_88,period_ML1,period_ML2
Malawi,Southern,2011-01-01,3936335.707122802,2623364.556640625,0.0,2515757.5938415527,4043942.669921875,0.0,6559700.263763428,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,60.00785933570158,39.99214066429842,0.0,0.0,0.0,0.0,0.0,0,0.0,6559700.263763428,100.0,38.351715668151776,61.648284331848224,0.0,0.0,0.0,0.0,0.0,0,0.0,6559700.263763428,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6559700.263763428,100.0,0.0,0.0,,,,Jan - Mar 2011,Apr - Jun 2011
Malawi,Central,2011-04-01,6337617.1910476675,0.0,0.0,6335441.075202943,2176.1158447265625,0.0,6335197.217201233,2419.973846435547,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6337617.1910476675,100.0,99.96566350129507,0.03433649870491515,0.0,0.0,0.0,0.0,0.0,0,0.0,6337617.1910476675,100.0,99.96181571443199,0.038184285567988085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337617.1910476675,100.0,0.0,0.0,,,,Apr - Jun 2011,Jul - Sep 2011
Malawi,Northern,2011-04-01,1664642.466018677,230143.38671875,4102.489833831787,1664642.466018677,0.0,4102.489833831787,1664642.466018677,0.0,230143.38671875,4102.489833831787,0.0,0,0,230143.38671875,0,0,0.0,0,1894785.852737427,1898888.3425712585,1894785.852737427,1898888.3425712585,1894785.852737427,1898888.3425712585,87.85385765962637,12.146142340373626,0.0,0.0,0.0,0.0,0.0,0,0.0,1894785.852737427,100.0,87.85385765962637,0.0,12.146142340373626,0.0,0.0,230143.38671875,12.146142340373626,0,0.0,1664642.466018677,87.85385765962637,87.85385765962637,0.0,12.146142340373626,0.0,0.0,230143.38671875,12.146142340373626,0.0,0.0,1664642.466018677,87.85385765962637,12.146142340373626,12.146142340373626,,,,Apr - Jun 2011,Jul - Sep 2011
Malawi,Southern,2011-04-01,6559700.263763428,0.0,0.0,4178843.882904052,2380856.380859375,0.0,17123.625091552734,5062094.685546875,1480481.953125,0.0,0.0,0,0,0.0,0,0,0.0,0,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6559700.263763428,100.0,63.70479922670383,36.29520077329617,0.0,0.0,0.0,0.0,0.0,0,0.0,6559700.263763428,100.0,0.2610427977349163,77.16960351847926,22.56935368378583,0.0,0.0,1480481.953125,22.56935368378583,0.0,0.0,5079218.310638428,77.43064631621417,22.56935368378583,0.0,,,,Apr - Jun 2011,Jul - Sep 2011
Malawi,Central,2011-07-01,6337617.1910476675,0.0,,6337617.1910476675,0.0,0.0,6337617.1910476675,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6337617.1910476675,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6337617.1910476675,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337617.1910476675,100.0,0.0,0.0,,,,Jul - Sep 2011,Oct - Dec 2011
Malawi,Northern,2011-07-01,1898888.3425712585,0.0,,1894785.852737427,0.0,4102.489833831787,1894785.852737427,0.0,0.0,4102.489833831787,0.0,0,0,0.0,0,0,0.0,0,1898888.3425712585,1898888.3425712585,1894785.852737427,1898888.3425712585,1894785.852737427,1898888.3425712585,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1898888.3425712585,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1894785.852737427,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894785.852737427,100.0,0.0,0.0,,,,Jul - Sep 2011,Oct - Dec 2011
Malawi,Southern,2011-07-01,6559700.263763428,0.0,,6559700.263763428,0.0,0.0,6559700.263763428,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6559700.263763428,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6559700.263763428,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6559700.263763428,100.0,0.0,0.0,,,,Jul - Sep 2011,Oct - Dec 2011
Malawi,Southern,2011-10-01,3728640.668060303,2831059.595703125,0.0,3507561.2188415523,2897309.154296875,0.0,3506204.4588012695,2724661.363555908,328834.44140625,0.0,0.0,0,0,154829.890625,0,0,0.0,0,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,6559700.263763428,56.841631753477536,43.158368246522464,0.0,0.0,0.0,0.0,0.0,0,0.0,6559700.263763428,100.0,53.47136420573578,44.168316200390414,2.3603195938738075,0.0,0.0,154829.890625,2.3603195938738075,0,0.0,6404870.373138428,97.63968040612619,53.45068094299924,41.53636986444739,5.01294919255337,0.0,0.0,328834.44140625,5.01294919255337,0.0,0.0,6230865.822357178,94.98705080744664,5.01294919255337,2.3603195938738075,,,,Oct - Dec 2011,Jan - Mar 2012
Malawi,Central,2011-10-01,6335441.075202943,2176.1158447265625,0.0,6335441.075202943,2176.1158447265625,0.0,6134746.825202943,202870.36584472656,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,6337617.1910476675,99.96566350129507,0.03433649870491515,0.0,0.0,0.0,0.0,0.0,0,0.0,6337617.1910476675,100.0,99.96566350129507,0.03433649870491515,0.0,0.0,0.0,0.0,0.0,0,0.0,6337617.1910476675,100.0,96.79894888363887,3.2010511163611346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337617.1910476675,100.0,0.0,0.0,,,,Oct - Dec 2011,Jan - Mar 2012
Malawi,Northern,2011-10-01,1894785.852737427,0.0,4102.489833831787,1894785.852737427,0.0,4102.489833831787,1894785.852737427,0.0,0.0,4102.489833831787,0.0,0,0,0.0,0,0,0.0,0,1894785.852737427,1898888.3425712585,1894785.852737427,1898888.3425712585,1894785.852737427,1898888.3425712585,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1894785.852737427,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1894785.852737427,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894785.852737427,100.0,0.0,0.0,,,,Oct - Dec 2011,Jan - Mar 2012
