ADMIN0,date,CS_2,CS_3,CS_4,CS_99,ML1_1,ML1_2,ML1_3,ML1_4,ML1_99,ML2_1,ML2_2,ML2_3,ML2_4,ML2_99,CS_1,CS_5,ML1_5,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,source,year,month,trigger_ML1_4_20,trigger_ML1_3_30,trigger_ML1_3_5i,threshold_reached_ML1,trigger_ML2_4_20,trigger_ML2_3_30,trigger_ML2_3_5i,threshold_reached_ML2,trigger_ML1_3_20,trigger_ML1_3_5in,trigger_ML1_4_2half,trigger_ML2_3_20,trigger_ML2_3_5in,trigger_ML2_4_2half,period_ML1,period_ML2
Somalia,7/1/14,11887683.2,1253407.457,87328.80469,,170720.0817,11840776.15,1346150.36,,,129227.1352,11887683.2,1253407.457,87328.80469,,129227.1352,,,,13357646.59,13357646.59,13357646.59,13357646.59,13357646.59,13357646.59,0.967439394,88.99534146,9.383445268,0.653773882,,1340736.262,10.03721915,87328.80469,0.653773882,12016910.33,89.96278085,1.278070059,88.64417897,10.07775097,,,1346150.36,10.07775097,,,12011496.23,89.92224903,0.967439394,88.99534146,9.383445268,0.653773882,,1340736.262,10.03721915,87328.80469,0.653773882,12016910.33,89.96278085,,0.040531823,FewsNet,2014,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,10/1/14,12073961.36,1112965.157,,,2936702.729,10043849.13,377094.7344,,,1962653.356,11010747.36,384245.8811,,,170720.0817,,,,13357646.59,13357646.59,13357646.59,13357646.59,13357646.59,13357646.59,1.278070059,90.3898847,8.332045236,,,1112965.157,8.332045236,,,12244681.44,91.66795476,21.98518061,75.19175672,2.823062668,,,377094.7344,2.823062668,,,12980551.86,97.17693733,14.69310737,82.43029398,2.876598646,,,384245.8811,2.876598646,,,12973400.71,97.12340135,-5.45544659,-5.508982568,FewsNet,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,1/1/15,10302950.58,391196.6992,,,,13274837.89,393367.7158,56019.40625,,157143.9238,13567081.09,,,,3030077.735,,,,13724225.02,13724225.02,13724225.02,13724225.02,13724225.02,13724225.02,22.07831576,75.07127411,2.850410124,,,391196.6992,2.850410124,,,13333028.32,97.14958988,,96.725592,2.866228988,0.408179013,,449387.1221,3.274408002,56019.40625,0.408179013,13274837.89,96.725592,1.145011275,98.85498873,,,,,,,,13724225.02,100,-2.850410124,0.423997878,FewsNet,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,4/1/15,13274837.89,449387.1221,,,353166.0376,12702998.12,668060.854,,,,13427071.92,297153.0947,,,,,,,13724225.02,13724225.02,13724225.02,13724225.02,13724225.02,13724225.02,,96.725592,3.274408002,,,449387.1221,3.274408002,,,13274837.89,96.725592,2.573304046,92.55894675,4.867749204,,,668060.854,4.867749204,,,13056164.16,95.1322508,,97.83482787,2.165172127,,,297153.0947,2.165172127,,,13427071.92,97.83482787,-1.109235874,1.593341203,FewsNet,2015,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,7/1/15,12702998.12,668060.854,,,2024867.553,10186527.41,1304145.434,208684.6206,,,13102414.17,621810.8428,,,353166.0376,,,,13724225.02,13724225.02,13724225.02,13724225.02,13724225.02,13724225.02,2.573304046,92.55894675,4.867749204,,,668060.854,4.867749204,,,13056164.16,95.1322508,14.75396644,74.22296994,9.502506937,1.520556683,,1512830.055,11.02306362,208684.6206,1.520556683,12211394.96,88.97693638,,95.46924623,4.530753774,,,621810.8428,4.530753774,,,13102414.17,95.46924623,-0.336995431,6.155314415,FewsNet,2015,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,
Somalia,10/1/15,12105398.92,1452449.507,,,2024867.25,10186529,1304145.531,208684.625,,2605976.387,10214886.16,903362.4722,,,166376.5835,,,,13724225.02,13724225.02,13724226.41,13724226.41,13724225.02,13724225.02,1.212283996,88.20460835,10.58310765,,,1452449.507,10.58310765,,,12271775.51,89.41689235,14.75396274,74.22297402,9.502506682,1.520556561,,1512830.156,11.02306324,208684.625,1.520556561,12211396.25,88.97693676,18.98814967,74.42960273,6.582247603,,,903362.4722,6.582247603,,,12820862.54,93.4177524,-4.000860045,0.439955593,FewsNet,2015,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,2/1/16,10230038.91,1678025.777,,,1029208.962,11406717.01,1678025.777,,,2747617.25,11181463,184872.4844,,,2205887.064,,,,14113951.75,14113951.75,14113951.75,14113951.75,14113952.73,14113952.73,15.62912431,72.48174778,11.88912791,,,1678025.777,11.88912791,,,12435925.98,88.11087209,7.292138868,80.81873322,11.88912791,,,1678025.777,11.88912791,,,12435925.98,88.11087209,19.4673831,79.2227607,1.309856196,,,184872.4844,1.309856196,,,13929080.25,98.6901438,-10.57927171,,FewsNet,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,6/1/16,7917477.599,1797578.993,,,4279720.799,8065172.846,1769058.107,,,2747618.152,11181461.13,184872.4688,,,4398895.16,,,,14113951.75,14113951.75,14113951.75,14113951.75,14113951.75,14113951.75,31.16699871,56.09681638,12.73618491,,,1797578.993,12.73618491,,,12316372.76,87.26381509,30.32262597,57.14326496,12.53410907,,,1769058.107,12.53410907,,,12344893.64,87.46589093,19.46739085,79.22275297,1.309856176,,,184872.4688,1.309856176,,,13929079.28,98.69014382,-11.42632873,-0.202075834,FewsNet,2016,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Somalia,10/1/16,12312137.32,1425894.846,,,375919.7374,12312137.32,1425894.846,,,,7413039.14,6700912.612,,,375919.7374,,,,14113951.91,14113951.91,14113951.91,14113951.91,14113951.75,14113951.75,2.663461941,87.23380528,10.10273278,,,1425894.846,10.10273278,,,12688057.06,89.89726722,2.663461941,87.23380528,10.10273278,,,1425894.846,10.10273278,,,12688057.06,89.89726722,,52.52277513,47.47722487,,,6700912.612,47.47722487,,,7413039.14,52.52277513,37.37449209,,FewsNet,2016,10,0,0,0,0,0,1,1,1,0,0,0,1,1,0,,
Somalia,2/1/17,10390378.97,2528741.955,1593349.707,,,6778169.958,6136460.276,1597840.401,,395594.4943,10891220.84,3225655.301,,,,,,,14512470.63,14512470.63,14512470.63,14512470.63,14512470.63,14512470.63,,71.59621015,17.42461376,10.97917609,,4122091.662,28.40378985,1593349.707,10.97917609,10390378.97,71.59621015,,46.70583065,42.28404956,11.01011979,,7734300.677,53.29416935,1597840.401,11.01011979,6778169.958,46.70583065,2.725893504,75.04732387,22.22678262,,,3225655.301,22.22678262,,,11286815.33,77.77321738,-6.177007232,24.89037949,FewsNet,2017,2,0,1,1,1,0,0,0,0,1,1,1,1,0,0,,
