date,ADMIN1,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2,period_ML1,period_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,source,ADMIN0,year,month,trigger_ML1_4_20,trigger_ML1_3_30,trigger_ML1_3_5i,threshold_reached_ML1,trigger_ML2_4_20,trigger_ML2_3_30,trigger_ML2_3_5i,threshold_reached_ML2
10/1/09,Sidama,4432226,3642047,0,0,3642047,0,0,0,3642047,0,0,0,0,3642047,0,0,0,3642047,3642047,3642047,Oct - Dec 2009,Jan - Mar 2010,0,0,100,0,0,3642047,100,0,0,0,0,0,100,0,0,0,0,0,0,0,3642047,100,0,100,0,0,0,0,0,0,0,3642047,100,-100,-100,FewsNet,,2009,10,0,0,0,FALSE,0,0,0,FALSE
10/1/09,Somali,6397806,5257198,0,0,1984567,3272631,0,0,1598877,3658321,0,0,0,0,5257198,0,0,5257198,5257198,5257198,Oct - Dec 2009,Jan - Mar 2010,0,0,37.7495198,62.2504802,0,5257198,100,3272631,62.2504802,0,0,0,30.41310219,69.58689781,0,0,3658321,69.58689781,0,0,1598877,30.41310219,0,0,100,0,0,5257198,100,0,0,0,0,0,-30.41310219,FewsNet,,2009,10,0,1,0,FALSE,0,1,0,FALSE
10/1/09,Tigray,5685598,4671965,384474,1975709,2311782,0,0,384474,4287491,0,0,0,384474,4287491,0,0,0,4671965,4671965,4671965,Oct - Dec 2009,Jan - Mar 2010,8.22938528,42.28860875,49.48200597,0,0,2311782,49.48200597,0,0,2360183,50.51799403,8.22938528,91.77061472,0,0,0,0,0,0,0,4671965,100,8.22938528,91.77061472,0,0,0,0,0,0,0,4671965,100,-49.48200597,-49.48200597,FewsNet,,2009,10,0,0,0,FALSE,0,0,0,FALSE
1/1/10,Addis Ababa,3780729,3194397,3194397,0,0,0,0,3194397,0,0,0,0,3194397,0,0,0,0,3194397,3194397,3194397,Jan - Mar 2010,Apr - Jun 2010,100,0,0,0,0,0,0,0,0,3194397,100,100,0,0,0,0,0,0,0,0,3194397,100,100,0,0,0,0,0,0,0,0,3194397,100,0,0,FewsNet,,2010,1,0,0,0,FALSE,0,0,0,FALSE
1/1/10,Afar,2015347,1702796,0,444418,1258378,0,0,0,0,1118676,584120,0,0,0,1441799,260997,0,1702796,1702796,1702796,Jan - Mar 2010,Apr - Jun 2010,0,26.09930961,73.90069039,0,0,1258378,73.90069039,0,0,444418,26.09930961,0,0,65.6964193,34.3035807,0,1702796,100,584120,34.3035807,0,0,0,0,84.67244461,15.32755539,0,1702796,100,260997,15.32755539,0,0,26.09930961,26.09930961,FewsNet,,2010,1,1,1,1,TRUE,0,1,1,TRUE
1/1/10,Amhara,22808290,19271079,8893029,9926969,451081,0,0,8893029,8395410,1531559,451081,0,8893029,2999602,5395808,1982640,0,19271079,19271079,19271079,Jan - Mar 2010,Apr - Jun 2010,46.14702166,51.51226353,2.340714809,0,0,451081,2.340714809,0,0,18819998,97.65928519,46.14702166,43.56481544,7.94744809,2.340714809,0,1982640,10.2881629,451081,2.340714809,17288439,89.7118371,46.14702166,15.56530384,27.9995116,10.2881629,0,7378448,38.2876745,1982640,10.2881629,11892631,61.7123255,35.94695969,7.94744809,FewsNet,,2010,1,0,0,1,FALSE,0,1,1,TRUE
1/1/10,Benishangul Gumz,1204954,1018082,1018082,0,0,0,0,445079,573003,0,0,0,445079,573003,0,0,0,1018082,1018082,1018082,Jan - Mar 2010,Apr - Jun 2010,100,0,0,0,0,0,0,0,0,1018082,100,43.71740194,56.28259806,0,0,0,0,0,0,0,1018082,100,43.71740194,56.28259806,0,0,0,0,0,0,0,1018082,100,0,0,FewsNet,,2010,1,0,0,0,FALSE,0,0,0,FALSE
1/1/10,Dire Dawa,523623,442416,0,442416,0,0,0,0,0,442416,0,0,0,0,442416,0,0,442416,442416,442416,Jan - Mar 2010,Apr - Jun 2010,0,100,0,0,0,0,0,0,0,442416,100,0,0,100,0,0,442416,100,0,0,0,0,0,0,100,0,0,442416,100,0,0,0,0,100,100,FewsNet,,2010,1,0,1,1,TRUE,0,1,1,TRUE
1/1/10,Gambela,498214,420947,71899,0,349048,0,0,71899,0,0,349048,0,71899,0,0,349048,0,420947,420947,420947,Jan - Mar 2010,Apr - Jun 2010,17.08029752,0,82.91970248,0,0,349048,82.91970248,0,0,71899,17.08029752,17.08029752,0,0,82.91970248,0,349048,82.91970248,349048,82.91970248,71899,17.08029752,17.08029752,0,0,82.91970248,0,349048,82.91970248,349048,82.91970248,71899,17.08029752,0,0,FewsNet,,2010,1,1,1,0,TRUE,1,1,0,TRUE
1/1/10,Harari,275491,232766,0,232766,0,0,0,0,0,232766,0,0,0,0,232766,0,0,232766,232766,232766,Jan - Mar 2010,Apr - Jun 2010,0,100,0,0,0,0,0,0,0,232766,100,0,0,100,0,0,232766,100,0,0,0,0,0,0,100,0,0,232766,100,0,0,0,0,100,100,FewsNet,,2010,1,0,1,1,TRUE,0,1,1,TRUE
1/1/10,Oromia,39382119,33274563,11646566,18193202,3434795,0,0,14178498,7709937,11386128,0,0,16195876,5692559,5873182,5512946,0,33274563,33274563,33274563,Jan - Mar 2010,Apr - Jun 2010,35.00140933,54.67600581,10.32258485,0,0,3434795,10.32258485,0,0,29839768,89.67741515,42.61062121,23.17066343,34.21871536,0,0,11386128,34.21871536,0,0,21888435,65.78128464,48.67344464,17.10784,17.65066607,16.56804929,0,11386128,34.21871536,5512946,16.56804929,21888435,65.78128464,23.89613051,23.89613051,FewsNet,,2010,1,0,1,1,TRUE,0,1,1,TRUE
1/1/10,SNNP,16721876,14128565,2070011,10719061,1339493,0,0,2070011,10070158,1988396,0,0,2070011,5821153,5266198,971203,0,14128565,14128565,14128565,Jan - Mar 2010,Apr - Jun 2010,14.65124731,75.86800924,9.480743444,0,0,1339493,9.480743444,0,0,12789072,90.51925656,14.65124731,71.27516489,14.0735878,0,0,1988396,14.0735878,0,0,12140169,85.9264122,14.65124731,41.20130388,37.27341029,6.874038517,0,6237401,44.1474488,971203,6.874038517,7891164,55.8525512,34.66670536,4.592844355,FewsNet,,2010,1,0,0,1,FALSE,0,1,1,TRUE
1/1/10,Sidama,4432226,3744857,0,3744857,0,0,0,0,3744857,0,0,0,0,0,3744857,0,0,3744857,3744857,3744857,Jan - Mar 2010,Apr - Jun 2010,0,100,0,0,0,0,0,0,0,3744857,100,0,100,0,0,0,0,0,0,0,3744857,100,0,0,100,0,0,3744857,100,0,0,0,0,100,0,FewsNet,,2010,1,0,0,0,FALSE,0,1,1,TRUE
1/1/10,Somali,6397806,5405603,0,1644011,3761592,0,0,0,0,4031705,1373898,0,0,0,4846723,558880,0,5405603,5405603,5405603,Jan - Mar 2010,Apr - Jun 2010,0,30.41309175,69.58690825,0,0,3761592,69.58690825,0,0,1644011,30.41309175,0,0,74.58381609,25.41618391,0,5405603,100,1373898,25.41618391,0,0,0,0,89.66109794,10.33890206,0,5405603,100,558880,10.33890206,0,0,30.41309175,30.41309175,FewsNet,,2010,1,1,1,1,TRUE,0,1,1,TRUE
1/1/10,Tigray,5685598,4803848,395327,3738388,670133,0,0,395327,2031481,1706907,670133,0,395327,780147,2136994,1491380,0,4803848,4803848,4803848,Jan - Mar 2010,Apr - Jun 2010,8.229381945,77.82069707,13.94992098,0,0,670133,13.94992098,0,0,4133715,86.05007902,8.229381945,42.28861946,35.53207762,13.94992098,0,2377040,49.4819986,670133,13.94992098,2426808,50.5180014,8.229381945,16.2400434,44.48504615,31.0455285,0,3628374,75.53057466,1491380,31.0455285,1175474,24.46942534,61.58065368,35.53207762,FewsNet,,2010,1,0,1,1,TRUE,1,1,1,TRUE
