,date,CS,admin0Name,admin1Name,admin2Name,ML1,ML2,admin1Name_en,Admin2Name_en,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
83,2009-10-01,3.0,Somalia,Togdheer,Buuhoodle,3.0,3.0,Togdheer,Buuhoodle,83747,79604,0.0,0.0,79604.0,0.0,0.0,79604.0,0.0,0.0,79604.0,0.0,0.0,79604.0,0.0,0.0,79604.0,0.0,0.0,79604.0
84,2009-10-01,3.0,Somalia,Togdheer,Owdweyne,3.0,3.0,Togdheer,Owdweyne,101358,96343,0.0,0.0,96343.0,0.0,0.0,96343.0,0.0,0.0,96343.0,0.0,0.0,96343.0,0.0,0.0,96343.0,0.0,0.0,96343.0
85,2009-10-01,3.0,Somalia,Togdheer,Sheikh,3.0,3.0,Togdheer,Sheikh,75904,72149,0.0,0.0,72149.0,0.0,0.0,72149.0,0.0,0.0,72149.0,0.0,0.0,72149.0,0.0,0.0,72149.0,0.0,0.0,72149.0
86,2009-10-01,3.0,Somalia,Sool,Laas Caanood,3.0,3.0,Sool,Laas Caanood,156438,148699,0.0,0.0,148699.0,0.0,0.0,148699.0,0.0,0.0,148699.0,0.0,0.0,148699.0,0.0,0.0,148699.0,0.0,0.0,148699.0
87,2009-10-01,3.0,Somalia,Sool,Caynabo,3.0,3.0,Sool,Caynabo,59080,56157,0.0,0.0,56157.0,0.0,0.0,56157.0,0.0,0.0,56157.0,0.0,0.0,56157.0,0.0,0.0,56157.0,0.0,0.0,56157.0
88,2009-10-01,3.0,Somalia,Sool,Taleex,3.0,3.0,Sool,Taleex,73529,69891,0.0,0.0,69891.0,0.0,0.0,69891.0,0.0,0.0,69891.0,0.0,0.0,69891.0,0.0,0.0,69891.0,0.0,0.0,69891.0
89,2009-10-01,3.0,Somalia,Sool,Xudun,3.0,3.0,Sool,Xudun,38380,36481,0.0,0.0,36481.0,0.0,0.0,36481.0,0.0,0.0,36481.0,0.0,0.0,36481.0,0.0,0.0,36481.0,0.0,0.0,36481.0
90,2009-10-01,3.0,Somalia,Sanaag,Ceerigaabo,3.0,3.0,Sanaag,Ceerigaabo,205318,195161,0.0,0.0,195161.0,0.0,0.0,195161.0,0.0,0.0,195161.0,0.0,0.0,195161.0,0.0,0.0,195161.0,0.0,0.0,195161.0
91,2009-10-01,3.0,Somalia,Sanaag,Ceel Afweyn,3.0,3.0,Sanaag,Ceel Afweyn,99950,95005,0.0,0.0,95005.0,0.0,0.0,95005.0,0.0,0.0,95005.0,0.0,0.0,95005.0,0.0,0.0,95005.0,0.0,0.0,95005.0
92,2009-10-01,3.0,Somalia,Sanaag,Laasqoray,3.0,3.0,Sanaag,Laasqoray,238855,227038,0.0,0.0,227038.0,0.0,0.0,227038.0,0.0,0.0,227038.0,0.0,0.0,227038.0,0.0,0.0,227038.0,0.0,0.0,227038.0
